SPRITEDATA
1
1000	436	2	468	64
1100	12	200	44	262
1001	374	2	406	64
1002	313	2	345	64
1003	256	2	288	64
1101	74	200	106	262
1102	135	200	167	262
1103	192	200	224	262
1004	196	18	228	64
1104	252	216	284	262
1007	136	2	168	64
1008	75	2	107	64
1009	16	2	48	64 
1107	312	200	360	262
1108	373	200	405	262
1109	432	200	464	262
1020	438	72	470	130
1022	262	68	294	130
1023	191	68	221	130
1024	319	68	349	130
1122	186	266	218	328
1123	259	266	289	328
1124	131	266	161	328
1037	16	67	48	113
1038	437	133	469	179
1039	375	133	407	179
1137	432	265	464	311
1138	11	331	43	377 
1139	73	331	105	377
1047	318	134	350	196
1048	258	134	290	196
1049	198	134	230	196
1147	130	332	162	394
1148	190	332	222	394
1149	250	332	282	394
1057	129	134	161	196
1058	69	134	101	196
1059	9	134	41	196
1157	319	332	351	394
1158	379	332	411	394
1159	439	332	471	394
1090	10	270	42	328
1190	438	72	470	130
1198	252	200	284	262
1199	60	267	124	329
1098	196	2	228	64
1099	115	68	179	130
SPRITEDATAEND
ANIMATIONDATA
100	1000	100
101	1100	100
				
102	1001	100
102	1002	100
102	1003	100
102	1000	100
				
103	1101	100
103	1102	100
103	1103	100
103	1100	100

106	1007	75
106	1008	75
106	1009	200

107	1107	75
107	1108	75
107	1109	200

104	1004	100
				
105	1104	100

112	1022	150
112	1023	150

110	1022	150
110	1024	150

113	1122	150
113	1123	150
		  
111	1122	150
111	1124	150

116	1023	100
114	1024	100

117	1123	100
115	1124	100

118	1037	75
118	1038	75
118	1039	200

119	1137	75
119	1138	75
119	1139	200

120	1047	75
120	1048	75
120	1049	200

121	1147	75
121	1148	75
121	1149	200

122	1057	75
122	1058	75
122	1059	200

123	1157	75
123	1158	75
123	1159	200

125	1198	500
125	1199	9999999

126	1098	500
126	1099	9999999

128	1090	100
127	1190	100
ANIMATIONDATAEND
EOF
